
" AND "," AND "
" OR "," OR "
" is "," is "
" is one of "," is one of "
"""%1"" value is not permitted.","""%1"" value is not permitted."
"<a href=""#"" class=""menu-selector-trigger"">Select menu parent and position</a>","<a href=""#"" class=""menu-selector-trigger"">Select menu parent and position</a>"
"ACL declaration file","ACL declaration file"
"Abstract block for tree entities.","Abstract block for tree entities."
"Action for moving tree entities","Action for moving tree entities"
"Action for refreshing tree path.","Action for refreshing tree path."
"Acts as name","Acts as name"
"Add 'Created at' to admin grid","Add 'Created at' to admin grid"
"Add 'Updated at' to admin grid","Add 'Updated at' to admin grid"
"Add Entity","Add Entity"
"Add annotations","Add annotations"
"Add entity admin action","Add entity admin action"
"Add field / attribute","Add field / attribute"
"Add/Edit Action layout handle","Add/Edit Action layout handle"
"Admin entity controller","Admin entity controller"
"Admin entity delete action","Admin entity delete action"
"Admin entity edit action","Admin entity edit action"
"Admin menu file","Admin menu file"
"Admin menu sort order","Admin menu sort order"
"Admin menu title","Admin menu title"
"Admin parent menu ID","Admin parent menu ID"
"Admin routes file","Admin routes file"
"Admin search model","Admin search model"
"Advanced settings","Advanced settings"
"Also, the modules you create with it should be tested before moved to production.","Also, the modules you create with it should be tested before moved to production."
"Always generated","Always generated"
"An attribute /field with the code ""children_count"" will be added by default to your entity if the behaves as tree.","An attribute /field with the code ""children_count"" will be added by default to your entity if the behaves as tree."
"An attribute /field with the code ""level"" will be added by default to your entity if the behaves as tree.","An attribute /field with the code ""level"" will be added by default to your entity if the behaves as tree."
"An attribute /field with the code ""parent_id"" will be added by default to your entity if the behaves as tree.","An attribute /field with the code ""parent_id"" will be added by default to your entity if the behaves as tree."
"An attribute /field with the code ""path"" will be added by default to your entity if the behaves as tree.","An attribute /field with the code ""path"" will be added by default to your entity if the behaves as tree."
"An attribute/field with code ""created_at"" will be added by default to your entity.","An attribute/field with code ""created_at"" will be added by default to your entity."
"An attribute/field with code ""updated_at"" will be added by default to your entity.","An attribute/field with code ""updated_at"" will be added by default to your entity."
"Are you sure you want to remove this attribute?","Are you sure you want to remove this attribute?"
"Are you sure you want to remove this entity?","Are you sure you want to remove this entity?"
"At least an entity behaves as tree and has a sibling relation","At least an entity behaves as tree and has a sibling relation"
"Attribute %1","Attribute %1"
"Attribute Type","Attribute Type"
"Attribute is a type that contains options (select, multiselect)","Attribute is a type that contains options (select, multiselect)"
"Attribute label","Attribute label"
"Attribute naming restrictions","Attribute naming restrictions"
"Base controller for admin","Base controller for admin"
"Behaves as tree","Behaves as tree"
"Block that renders the tree for tree behaving entities in the backend","Block that renders the tree for tree behaving entities in the backend"
"Container block for the admin edit form","Container block for the admin edit form"
"Country Multiselect","Country Multiselect"
"Create Module","Create Module"
"Create block for tree entities directly from the sibling entity form","Create block for tree entities directly from the sibling entity form"
"Create module","Create module"
"Css for tree entities with sibling relations","Css for tree entities with sibling relations"
"Declaration of admin menu items.","Declaration of admin menu items."
"Declare ACL for your module.","Declare ACL for your module."
"Default admin action for an entity","Default admin action for an entity"
"Default value","Default value"
"Delete an entity instance in the backend","Delete an entity instance in the backend"
"Dependency injection elements.","Dependency injection elements."
"Dependency injection file","Dependency injection file"
"Don't use Magento as namespace. Be creative.","Don't use Magento as namespace. Be creative."
"Done!!! Check you var folder","Done!!! Check you var folder"
"Download config","Download config"
"Download list of files","Download list of files"
"Download module","Download module"
"Download uninstall script","Download uninstall script"
"Each entity must have a label used for buttons, links, messages.<br />This is the singular form of the label. For example in a blog module, the post entity will have the label in singular form 'Post'","Each entity must have a label used for buttons, links, messages.<br />This is the singular form of the label. For example in a blog module, the post entity will have the label in singular form 'Post'"
"Each entity must have an attribute to behave as 'Name'. This attribute will be used to identify different entities among themselves. It will also be used in dropdowns with entities. This option is available only for text, number and decimal attributes.","Each entity must have an attribute to behave as 'Name'. This attribute will be used to identify different entities among themselves. It will also be used in dropdowns with entities. This option is available only for text, number and decimal attributes."
"Each module must contain at least one entity.","Each module must contain at least one entity."
"Edit Module ""%1""","Edit Module ""%1"""
"Edit an entity instance in the backend","Edit an entity instance in the backend"
"Enable Tooltips","Enable Tooltips"
"Entity ""%1"" does not have an attribute that behaves as name","Entity ""%1"" does not have an attribute that behaves as name"
"Entity %1","Entity %1"
"Entity Collection model","Entity Collection model"
"Entity Data Setup Model","Entity Data Setup Model"
"Entity File model class","Entity File model class"
"Entity Image model class","Entity Image model class"
"Entity Relations","Entity Relations"
"Entity Source Model","Entity Source Model"
"Entity acts as parent for other entity","Entity acts as parent for other entity"
"Entity admin Edit block","Entity admin Edit block"
"Entity admin edit form block","Entity admin edit form block"
"Entity admin edit form template","Entity admin edit form template"
"Entity admin edit tabs block","Entity admin edit tabs block"
"Entity admin edit template","Entity admin edit template"
"Entity admin file input renderer","Entity admin file input renderer"
"Entity admin grid action","Entity admin grid action"
"Entity admin grid block","Entity admin grid block"
"Entity admin grid container block","Entity admin grid container block"
"Entity admin image input renderer","Entity admin image input renderer"
"Entity admin tree template","Entity admin tree template"
"Entity model class","Entity model class"
"Entity naming restrictions","Entity naming restrictions"
"Entity resource model class","Entity resource model class"
"Entity tree resource model class","Entity tree resource model class"
"Entity type","Entity type"
"Export Entity grid as csv action","Export Entity grid as csv action"
"Export Entity grid as xls action","Export Entity grid as xls action"
"Field %1 is required","Field %1 is required"
"Field name","Field name"
"Field type","Field type"
"Fields / Attributes","Fields / Attributes"
"File does not exist or is not readable","File does not exist or is not readable"
"Fill in a default value for the attribute. Leave empty for no value. For dropdown and multiselect attributes the value, must be a valid value. not valid ones will be removed. For the multiselect attributes add one default value on each line. For Yes/No attribtues enter 1 for Yes, 0 for No. For country attributes fill in the country ISO2 code. You cannot set a default value for image and file attributes.","Fill in a default value for the attribute. Leave empty for no value. For dropdown and multiselect attributes the value, must be a valid value. not valid ones will be removed. For the multiselect attributes add one default value on each line. For Yes/No attribtues enter 1 for Yes, 0 for No. For country attributes fill in the country ISO2 code. You cannot set a default value for image and file attributes."
"For each attribute for which","For each attribute for which"
"For each entity for which","For each entity for which"
"Fully qualified class names","Fully qualified class names"
"General Information","General Information"
"Get the entity tree based on text","Get the entity tree based on text"
"Grid AJAX actions should call this","Grid AJAX actions should call this"
"Grid layout handle","Grid layout handle"
"Has No Relation with","Has No Relation with"
"Has at least one entity whe the setting ""Is Tree""","Has at least one entity whe the setting ""Is Tree"""
"Has at least one flat entity that requires file uploads","Has at least one flat entity that requires file uploads"
"Helper block for tree entities with sibling relations","Helper block for tree entities with sibling relations"
"If set to Yes then the generated code will have `use` statements at the top of the classes and only use class aliases in the code. If it's set to No then the full class path will be used in the code.","If set to Yes then the generated code will have `use` statements at the top of the classes and only use class aliases in the code. If it's set to No then the full class path will be used in the code."
"If set to Yes your entity will have a tree behavior just like the catalog categories do.","If set to Yes your entity will have a tree behavior just like the catalog categories do."
"If set to yes, then the methods that are magically called from your classes will be added at the top of the class as reference.","If set to yes, then the methods that are magically called from your classes will be added at the top of the class as reference."
